id,game_id,game_no,team,points,rebounds,assists,steals,blocks,turnovers,fouls,fg_pct,three_pct,ft_pct,source_url
41,125112-CHN-NZL,1,China,85,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
42,125112-CHN-NZL,1,New Zealand,51,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
43,125113-NZL-KOR,2,New Zealand,76,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
44,125113-NZL-KOR,2,Korea,78,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
45,125114-KOR-CHN,3,Korea,69,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
46,125114-KOR-CHN,3,China,91,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
47,125115-CHN-INA,4,China,110,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
48,125115-CHN-INA,4,Indonesia,59,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
49,125116-INA-NZL,5,Indonesia,45,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
50,125116-INA-NZL,5,New Zealand,75,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
51,125117-KOR-INA,6,Korea,95,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125117-KOR-INA
52,125117-KOR-INA,6,Indonesia,62,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125117-KOR-INA
53,125118-JPN-AUS,7,Japan,67,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125118-JPN-AUS
54,125118-JPN-AUS,7,Australia,79,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125118-JPN-AUS
55,125119-AUS-PHI,8,Australia,115,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
56,125119-AUS-PHI,8,Philippines,39,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
57,125120-PHI-JPN,9,Philippines,82,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
58,125120-PHI-JPN,9,Japan,85,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
59,125121-JPN-LBN,10,Japan,72,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
60,125121-JPN-LBN,10,Lebanon,68,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
61,125122-LBN-AUS,11,Lebanon,34,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
62,125122-LBN-AUS,11,Australia,113,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
63,125123-PHI-LBN,12,Philippines,73,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
64,125123-PHI-LBN,12,Lebanon,70,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
65,126778-KOR-PHI,13,Korea,104,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126778-KOR-PHI
66,126778-KOR-PHI,13,Philippines,71,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126778-KOR-PHI
67,126779-JPN-NZL,14,Japan,77,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126779-JPN-NZL
68,126779-JPN-NZL,14,New Zealand,62,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126779-JPN-NZL
69,126780-INA-LBN,15,Indonesia,57,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126780-INA-LBN
70,126780-INA-LBN,15,Lebanon,67,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126780-INA-LBN
71,126781-CHN-JPN,16,China,81,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126781-CHN-JPN
72,126781-CHN-JPN,16,Japan,90,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126781-CHN-JPN
73,126782-AUS-KOR,17,Australia,86,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126782-AUS-KOR
74,126782-AUS-KOR,17,Korea,73,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126782-AUS-KOR
75,126783-PHI-NZL,18,Philippines,71,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126783-PHI-NZL
76,126783-PHI-NZL,18,New Zealand,78,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126783-PHI-NZL
77,126784-KOR-CHN,19,Korea,66,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126784-KOR-CHN
78,126784-KOR-CHN,19,China,101,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126784-KOR-CHN
79,126785-AUS-JPN,20,Australia,88,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126785-AUS-JPN
80,126785-AUS-JPN,20,Japan,79,,,,,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126785-AUS-JPN
