game_no,stage,team_home,team_away,score_home,score_away,game_url,source_date
1,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL,2025 Wed 16 JUL ui-calendar-day
2,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR,2025 Mon 14 JUL ui-calendar-day
3,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN,2025 Tue 15 JUL ui-calendar-day
4,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA,2025 Sun 13 JUL ui-calendar-day
5,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL,2025 Tue 15 JUL ui-calendar-day
6,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125117-KOR-INA,2025 Wed 16 JUL ui-calendar-day
7,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125118-JPN-AUS,2025 Tue 15 JUL ui-calendar-day
8,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI,2025 Sun 13 JUL ui-calendar-day
9,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN,2025 Mon 14 JUL ui-calendar-day
10,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN,2025 Sun 13 JUL ui-calendar-day
11,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS,2025 Mon 14 JUL ui-calendar-day
12,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN,2025 Wed 16 JUL ui-calendar-day
13,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126778-KOR-PHI,2025 Fri 18 JUL ui-calendar-day
14,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126779-JPN-NZL,2025 Fri 18 JUL ui-calendar-day
15,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126780-INA-LBN,2025 Fri 18 JUL ui-calendar-day
16,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126781-CHN-JPN,2025 Sat 19 JUL ui-calendar-day
17,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126782-AUS-KOR,2025 Sat 19 JUL ui-calendar-day
18,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126783-PHI-NZL,2025 Sat 19 JUL ui-calendar-day
19,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126784-KOR-CHN,2025 Sun 20 JUL ui-calendar-day; default
20,,,,,,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126785-AUS-JPN,2025 Sun 20 JUL ui-calendar-day; default
