game_no,game_url,html_file,download_method,status
1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_01.html,requests,success
2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_02.html,requests,success
3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_03.html,requests,success
4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_04.html,requests,success
5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_05.html,requests,success
6,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125117-KOR-INA,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_06.html,requests,success
7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125118-JPN-AUS,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_07.html,requests,success
8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_08.html,requests,success
9,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_09.html,requests,success
10,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_10.html,requests,success
11,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_11.html,requests,success
12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_12.html,requests,success
13,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126778-KOR-PHI,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_13.html,requests,success
14,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126779-JPN-NZL,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_14.html,requests,success
15,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126780-INA-LBN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_15.html,requests,success
16,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126781-CHN-JPN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_16.html,requests,success
17,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126782-AUS-KOR,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_17.html,requests,success
18,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126783-PHI-NZL,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_18.html,requests,success
19,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126784-KOR-CHN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_19.html,requests,success
20,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126785-AUS-JPN,C:/Users/Lenovo/Desktop/fiba-womens-asia-cup-2025-analysis/data/raw/html/game_20.html,requests,success
